epoch,val_mrr,loss,latency
1.0,0.0670012682676315,1.263676972091198,57.845295899998746
2.0,0.1199861168861389,0.9455301875621086,50.88585670000248
3.0,0.1608997732400894,0.698049063719809,44.623358000000735
4.0,0.1773054897785186,0.5557591953501103,41.93080729999929
1.0,0.0670012682676315,1.263676972091198,44.65934510000079
1.0,0.0670012682676315,1.263676972091198,49.30166979999922
2.0,0.1199861168861389,0.9455301875621086,58.91441610000038
3.0,0.1608997732400894,0.698049063719809,40.295999799996935
1.0,0.0670012682676315,1.263676972091198,39.22792379999737
2.0,0.11998611688613892,0.9455301875621086,40.196443900000304
