dataset,snapshot_time_gran,model,seed,test_auc,test_ap,best_epoch
tgbl-wiki,D,GCLSTM,720,0.6000000238418579,0.5666667222976685,0
tgbl-wiki,D,GCLSTM,721,0.5,0.4833333492279053,0
tgbl-wiki,D,GCLSTM,722,0.5999999642372131,0.7361111044883728,0
tgbl-wiki,D,TGCN,720,0.75,0.8611111044883728,0
tgbl-wiki,D,PF,720,0.2249999940395355,0.3833333551883697,0
tgbl-wiki,D,TGCN,721,0.699999988079071,0.6916667222976685,0
tgbl-wiki,D,PF,721,0.2249999940395355,0.3833333551883697,0
tgbl-wiki,D,PF,722,0.0999999940395355,0.4444444477558136,0
tgbl-wiki,D,TGCN,722,0.5499999523162842,0.5416666865348816,0
