dataset,batch_unit,batch_size,model,seed,test_mrr,best_epoch
tgbl-wiki,,100,TGAT,720,0.412123292684555,100
tgbl-wiki,,200,TGAT,720,0.4020604789257049,100
tgbl-wiki,,100,TGAT,721,0.4102146625518799,100
tgbl-wiki,,200,TGAT,721,0.3984549343585968,100
tgbl-wiki,,100,TGAT,722,0.4202832877635956,100
tgbl-wiki,,200,TGAT,722,0.4087542295455932,100
tgbl-wiki,,10,TGAT,720,0.4426454603672027,100
tgbl-wiki,,1,TGAT,720,0.4488545954227447,100
tgbl-wiki,,10,TGAT,721,0.4400001466274261,100
tgbl-wiki,,10,TGAT,722,0.4458445906639099,100
tgbl-wiki,,1,TGAT,721,0.4474242925643921,100
tgbl-wiki,,1,TGAT,722,0.45182928442955017,100
tgbl-wiki,,50,TGAT,720,0.4130261242389679,100
tgbl-wiki,,50,TGAT,721,0.4216945469379425,100
tgbl-wiki,,50,TGAT,722,0.4077438116073608,90

